paint_name	paint_number	temperature	sort_order	color_family	pigment_composition	pigments	lightfast_rating	opacity	staining_granulating 
Phthalo Blue Red Shade 141	141	Warm	350	Blues	Copper Phthalocyanine (PB 15:0	PB15:0-Phthalo Blue	Excellent - LF I	Transparent	Staining
Phthalo Blue 140	140	Cool	370	Blues	Copper Phthalocyanine (PB 15:3) 	PB15:3-Phthalo Blue	Excellent - LF I	Transparent	Staining
Turquoise 189	189	Cool	400	Blues	Copper Phthalocyanine (PB 15:3) Chlorinated Copper  Phthalocyanine (PG 7)	"PB15:3-Phthalo Blue,PG7-Phthalo Green"	Excellent - LF I	Transparent	Staining
Manganese Blue Hue 114	114	Cool	380	Blues	Copper Phthalocyanine (PB 15:3) Zinc Oxide (PW 4)	"PB15:3-Phthalo Blue,PW4-Zinc White"	Excellent - LF I	Transparent	Staining
Prussian Blue 153	153	Cool	360	Blues	Ferriammonium Ferrocyanide (PB 27) 	PB27-Prussian Blue	Excellent - LF I	Transparent	Staining
Cobalt Blue 090	90	Warm	310	Blues	Oxides of Cobalt  and Aluminum (PB 28) 	PB28-Cobalt Blue	Excellent - LF I	Semi Transparent	Granulating  
Cobalt Teal 097	97	Cool	390	Blues	Cobalt Aluminate (PB 28) 	PB28-Cobalt Blue	Excellent - LF I	Semi Opaque	Granulating  
Ultramarine Blue 190	190	Warm	300	Blues	Silicate of Sodium & Aluminum with Sulfur (PB 29) 	PB29-Ultramarine [Blue]	Excellent - LF I	Transparent	Granulating  
Ultramarine Violet 193	193	Cool	290	Violets	Silicate of Sodium (PB 29) Aluminum with Sulfur (PV 15) 	"PB29-Ultramarine [Blue],PV15-Ultramarine Violet"	Excellent - LF I	Transparent	Granulating  
Ultramarine Violet Deep 194	194	Cool	270	Violets	Silicate of Sodium (PB 29) Aluminum with Sulfur (PV 15) 	"PB29-Ultramarine [Blue],PV15-Ultramarine Violet"	Excellent - LF I	Transparent	Granulating  
Cerulean Blue 080	80	Warm	330	Blues	Oxides of Cobalt and Chromium (PB 36) 	PB36-Cobalt Chromite Blue Green Spinel	Excellent - LF I	Semi Opaque	Granulating  
Cerulean Blue Deep 081	81	Warm	340	Blues	Oxides of Cobalt and Chromium (PB 36) 	PB36-Cobalt Chromite Blue Green Spinel	Excellent - LF I	Semi Opaque	Granulating  
Anthraquinone Blue 012	12	Warm	320	Blues	Anthraquinone Blue (PB 60)	PB60-Indanthrene Blue	Excellent - LF I	Transparent	Staining
