pigment_code	pigment_name	image_name	pigment_words	pigment_type	chemical_name	chemical_formula	properties	permanence	toxicity	history	alternative_names	
PR83	PR83-Alizarin Crimson	PR83-AlizarinCrimson	Alizarin Crimson	organic	"1,2-dihydroxyantraquinone"	C14H8O4	"Alizarin Crimson, the traditional cool counterpart to Cadmium Red, is a clear ruby-red with a maroon masstone and a bluish undertone. It is the artist's principal deep red pigment, is transparent, and has good tinting strength. It creates bright rosy pinks when mixed with white, a range of purples and violets when mixed with strong blues, can be slow drying when used with oils, and is compatible with all other pigments. Permanent Alizarin Crimson mixes well with Ultramarine in acrylic and watercolor form. Permanent Rose and Quinacridone Rose are possible alternatives on a watercolor palette. Alizarin Crimson is a popular glazing color."	"Alizarin Crimson is considered fugitive or marginally lightfast, and the appropriateness of its use in the modern artist palette is a subject of debate. There are many concerns regarding its permanence, particularly when mixed with ochre, sienna, and umber, or when used thinly. It is the least permanent red commonly used by today's artists. Modern synthetic preparations of Alizarin Crimson have better permanence and lightfastness that the original natural pigment, which was extracted from the madder plant. Quinacridone pigments have been used to create a modern hue that closely matches the original hue, but many artists object that the transparency and handling characteristics are not the same as for the original."	Alizarin Crimson can be slightly toxic if it comes into contact with skin and may cause some allergies. There is no significant acute toxicity.	"The word alizarin comes from the Arabic word al-usara, meaning juice. The base ingredient of this pigment is the Madder plant (Rubia Tinctorum). It was used for dyes and inks among craftsmen in Ancient Persia, India, and Egypt as early as 1500 BC In 1804, George Field, an English dye maker, developed Madder Lake by binding madder to alum, a white powder. The German chemists Carl Grabe and Carl Liebermann produced the first synthetic variety of this pigment, most commonly known as Alizarin Crimson, in 1868. They used anthracene, which greatly improved the lightfastness. The Colour Index International designation PR83:1 has been used to identify this synthetic laked pigment."	"Alizarin, Alizarin Carmine, Crimson Madder, Madder Lake. Rose Madder is a weak grade of Alizarin Crimson."	
P062	PO62-Benzimidazolone Orange	PO62-BenzimidazoloneOrange	Benzimidazolone Orange	"organic, monoazo"	n/a	C17H13CIN6O5	"Benzimidazolone Orange is a staining, yellowish orange pigment that can become dull in tints. It has an average drying time, and it loses some of its intensity as it dries. The yellowish orange varieties are more transparent."	Benzimidazolone Orange has excellent lightfastness and outstanding heat and solvent stability for a monoazo pigment.	Benzimidazolone Orange is not considered toxic.	"The benzimidazolone group of pigments was developed and patented in 1960 by Hoechst A.G., a German chemical manufacturer that was a forerunner of the pharmaceutical company Aventis. Use of benzimidazolone pigments in the auto industry, especially Benzimidazolone Orange, became common in the 1980s because they were common replacements for lead chromate pigments, which were phased out during this period."	"Permanent Orange, Benzimida Orange"	
PY151	PY151-Benzimidazolone Yellow	PY151-BenzimidazoloneYellow	Benzimidazolone Yellow	"organic, monoazo"	n/a	n/a	"Benzimidazolone Yellow is a greenish yellow pigment with dull tints and an average drying time. It mixes very cleanly. It mixes cleanly with both Phthalo Green and Titanium White. Although more expensive than many Hansa and Diarylide pigments, its mixing properties, durability, and lightfastness have won it many customers."	"Benzimidazolone Yellow has excellent lightfastness and durability. This has made it an extremely important pigment in the printing industry, for applications where lightfastness is a primary consideration. Though it is not absolutely lightfast, it ranks extremely well among organic yellows."	Benzimidazolone Yellow is not considered toxic.	"The benzimidazolone group of pigments was developed and patented in 1960 by Hoechst A.G., a German chemical manufacturer that was a forerunner of the pharmaceutical company Aventis."	Benzimidazolone	
PY184	PY184-Bismuth Yellow	PY184-BismuthYellow	Bismuth Yellow	inorganic	bismuth orthovanadate or bismuth vanadium oxide	BiVO4	"Bismuth Yellow is an intense, light value, semi-opaque yellow pigment with good tinting strength."	Bismuth Yellow has excellent lightfastness.	"Bismuth orthovanadate is harmful if swallowed. It is irritating to the eyes, respiratory system, and skin. Exposure may cause conjunctivitis, rhinitis, and reversible irritation of the respiratory tract. More severe cases may cause bronchitis, bronchospasms, and asthma like disease. It may cause polycythemia, red blood cell destruction and anemia, albuminuria and hematuria, gastrointestinal disorders, nervous complaints, and severe cough. However, bismuth vanadium oxide is completely insoluble in water. This limits absorption and biological activity. In waterbased paints, it must be suspended in a binder vehicle. Because of low absorption, such clinical symptons are primarily limited to cases of long-term occupational exposure."	"Bismuth orthovanadate occurs naturally in several minerals. Although it was synthesized in the 1920s, it was not developed as a commercial pigment until the 1970s."	"Permanent Lemon Yellow, Vanadium Yellow."	
PBr7	PBr7-Burnt Sienna	PBr7-BurntSienna	Burnt Sienna	earth	iron oxides	Fe2O3	"Burnt Sienna is a warm, mid-brown color formed by burning the yellow-brown limonite clay called Raw Sienna. It ranges from semi-opaque to semi-transparent due to the combination of its opaque, red-brown mass tone and its transparent, orangey undertone. It is an excellent mixing complement for blues and greens and creates salmon or peach colored tints when mixed with white. It can be useful for subduing bright colors and does not get chalky in dark mixtures."	Burnt Sienna has good permanence and is considered one of the most versatile of the permanent pigments.	Burnt Sienna has no significant hazards.	"Burnt Sienna has been used as a pigment since prehistoric times, but its current name came about during the Renaissance. It comes from the city of Siena, in Italy, and is short for terra di Siena, meaning earth of Siena. Sienna was famous for the mining and production of earth pigments from the Renaissance until World War II. Due to the depletion of clay deposits in Tuscany, Italian siennas now come from other areas, including Sicily and Sardinia."	"Caput Mortuum, Italian Earth, Natural Brown Iron Oxide, Sienna, Spanish Red, Vandyke Brown."	
PBr7	PBr7-Burnt Umber	PBr7-BurntUmber	Burnt Umber	earth	iron oxides with manganese silicates or dioxide	"Fe2O3,MnO2 or Fe2O3 + MnO2 + nH2O + Si + Al2O3"	"Burnt Umber is a more intense reddish brown pigment that results from heating the clay pigment Raw Umber. It has medium to excellent tinting strength and high opacity, and it is quick drying in oil form. Burnt Umber is somewhat more transparent than Raw Umber. It has excellent color properties and can create a variety of subtle, clear tints when mixed with white. It can tend towards chalkiness in dark mixes in oil form, but overall it mixes well with other colors. To create a black color in oil form, mix Burnt Umber with Phthalo Blue or Ultramarine. To achieve a similar color in watercolor form, mix it with Ultramarine or Payne's Gray."	Burnt Umber has good permanence.	"Burnt Umber itself is considered non-toxic. If contaminated by manganese compounds, it may be highly toxic if inhaled and moderately toxic if ingested."	"This pigment gets its name from the Latin word umbra, meaning shadow or shade. Its full name is listed as terra di ombra, meaning earth of shadow/shade, due to its original extraction from the area of Umbria, Italy. It has been used as a pigment since prehistoric times. Currently, the finest umber comes from Cyprus."	"Chestnut Brown, Euchrome, Jacaranda Brown, Mars Brown, Mineral Brown, Raw Brown, Spanish Brown, Van Dyke Umber. Cyprus Umber, Turkey Brown, and Turkey Umber are the best quality umbers."	
PO20	PO20-Cadmium Orange	PO20-CadmiumOrange	Cadmium Orange	"inorganic, cadmium"	cadmium sulfide and cadmium selenide	CdS _ CdSe	"Cadmium Orange was the first true orange and was made by mixing Cadmium Yellow with Cadmium Red. It is a pure hue with excellent opacity and low toxicity compared with its predecessors. It also has very high hiding power. The greatest tinting strengths are possessed by the deeper shades. Only the highest grades contain pure Cadmium Orange without barium mixed in it. Cadmium pigments have been partially replaced by azo pigments, which are similar in lightfasness to the cadmium colors, cheaper, and non-toxic."	"Cadmium Orange has excellent permanence, but like many cadmium pigments, it will fade in fresco or mural painting. The deeper varieties of this pigment are the most permanent. The paler varieties have been known to fade when exposed to sunlight."	Cadmium Orange is a known human carcinogen. It is extremely toxic if inhaled and slightly toxic if ingested.	"Cadmiums get their names from the Latin word cadmia, meaning zinc ore calamine, and the Greek word kadmeia, meaning Cadmean earth,  first found near Thebes, the city founded by the Phoenician prince Cadmus. Metallic cadmium was discovered in 1817 by Friedrich Strohmeyer. It was used sparingly after its discovery due to the scarcity of cadmium metal."	n/a	
PR108	PR108-Cadmium Red	PR108-CadmiumRed	Cadmium Red	"inorganic, cadmium"	cadmium sulfide and cadmium selenide	CdS _ CdSe	"Cadmium Red is a bright, warm red that ranges in shade from orange-red to maroon and is available in light, medium, and dark versions. It is strong and opaque, with good tinting strength. Cadmium Red dries slowly. It grays down when mixed with white, mixes well with blues to create a range of browns, and mixes well with Cadmium Yellow to create a strong orange. It also works well in neutral mixes. Cadmium pigments have been partially replaced by azo pigments, which are similar in lightfastness to the cadmium colors, cheaper, and non-toxic. Hues vary by brand. Cadmium Red is usually available in either a pure grade or a cadmium-barium mix. The cadmium-barium mix has the same permanence as pure Cadmium Red, but it has a lower tinting strength."	"Cadmium Red is lightfast and permanent in most forms, but like many cadmium pigments, it will fade in fresco or mural painting. Its improved lightfastness has helped it to replace Vermilion on the artist's palette."	Cadmium Red is a known human carcinogen. It is extremely toxic if inhaled and slightly toxic if ingested.	"Cadmiums get their names from the Latin word cadmia meaning zinc ore calamine, and the Greek word kadmeia, meaning Cadmean earth, first found near Thebes, the city founded by the Phoenician prince Cadmus. Metallic cadmium was discovered in 1817 by Friedrich Strohmeyer, but Cadmium Red was not introduced until 1907 in Germany."	"Cadmium Scarlet, Selenium Red."	
PY35	PY35-Cadmium Yellow	PY35-CadmiumYellow	Cadmium Yellow	"inorganic, cadmium"	cadmium zinc sulfide	CdZnS	"Cadmium Yellow is brilliant, dense, and opaque, with good tinting strength and very high hiding power. It is the artist's principal bright yellow and is available in light, medium, and dark shades. The deeper shades appear deep orange and have the greatest tinting strength. It is slow-drying in oil form and is used in both oil and watercolor form. It cannot be mixed with copper-based pigments. A clean Cadmium Orange is created when Cadmium Yellow is mixed with Cadmium Red. Hues vary by brand. Cadmium pigments have been partially replaced by azo pigments, which are similar in lightfastness to the cadmium colors, cheaper, and non-toxic. Cadmium Yellow is usually available in a pure grade, or in a cadmium-barium mix. This mix has the same permanence with a lower tinting strength."	"Cadmium Yellow is lightfast and permanent in most forms, but like most cadmium colors, it will fade in fresco or mural painting. The deeper shades are the most permanent. The pale varieties have been known to fade with exposure to sunlight in conditions where moisture is able to penetrate the binder."	Cadmium Yellow is a known human carcinogen. It can be hazardous if chronically inhaled or ingested.	"Cadmiums get their names from the Latin word cadmia meaning zinc ore calamine, and the Greek word kadmeia, meaning Cadmean earth, first found near Thebes, the city founded by the Phoenician prince Cadmus. Metallic cadmium was discovered in 1817 by Friedrich Strohmeyer. Oil colors were first made from Cadmium Yellow pigments in 1819, replacing toxic Chrome (lead) Yellows. However, their production was delayed until 1840 due to the scarcity of cadmium metals. Landscape painters, such as Claude Monet, preferred Cadmium Yellow to the less expensive Chrome Yellow because of its higher chroma and greater purity of color."	"Aurora Yellow, Cadmium Primrose Yellow, Cadmium Zinc Yellow, Lemon Yellow, Primrose Yellow. Deep Cadmium Yellow is sometimes called Orient Yellow."	
PBr24	PBr24-Chrome Antimony Titanate	PBr24-ChromeAntimonyTitanate	Chrome Antimony Titanate	inorganic	chrome antimony titanate	n/a	"Chrome Antimony Titanate is a staining, opaque yellowish brown pigment. It is often used to replace the original Naples Yellow or Chrome Yellow, both of which are highly  toxic pigments."	Chrome Antimony Titanate has excellent lightfastness and weatherfastness.	"Chrome Antimony Titanate has negligible acute toxicity. In testing with rabbits, it was shown to be minimally irritating to the skin and eyes. Since it has the hexavalent structure of a chromium yellow, whether Chrome Antimony Titanate is a potential carcinogen has been a subject of controversy. At this time, regulations in the USA do not require it to be labeled in any way."	"Chrome Antimony Titanate is used in ceramics, plastics, and industrial coatings."	"Chrome Antimony Titanium Buff Rutile, Chrome Titanate, Chrome Titanate Brown"	
