paint_name	paint_number	temperature	sort_order	color_family	pigment_composition	pigments	lightfast_rating	opacity	staining_granulating 	other_names	history
Alizarin Crimson 010	10	Cool	200	Reds	Alizarin Crimson (PR83)	PR83-Alizarin Crimson	Acceptable - LF III	Transparent	Staining	"Alizarin, Alizarin Carmine, Crimson Madder, Madder Lake. Rose Madder is a weak grade of Alizarin Crimson."	"A synthetic lake pigment from the Madder plant, Alizarin Crimson was the first natural dye to be synthesized in 1868. It is a deep transparent red with a bluefish undertone."
Anthraquinone Blue 012	12	Warm	320	Blues	Anthraquinone Blue (PB 60)	PB60-Indanthrene Blue	Excellent - LF I	Transparent	Staining	"Indanthrone, Indantherene Blue "	"Indantherene Blue is a clean deep blue pigment. It is fully lightfast and is a transparent colour. It is used to dye unmordanted cotton and as a pigment in quality paints and enamels. As a food dye, it has E number E130, but it is not approved for use in either the United States or the European Union."
Azo Green 016	16	Warm	500	Greens	Azomethine Copper Complex (PY 129)	PY129-Green Gold	Excellent - LF I	Transparent	Staining	"Magnacryl Azomethine Yellow, copper azomethine green, Green Gold"	"Green gold copper azomethine is a delightful and extremely useful category of pigment for all genres, but for landscape and botanical painting especially. In watercolors this ""green gold"" pigment undergoes a moderately large drying shift, holding lightness but losing saturation by up to 30%."
Azo Orange 017	17	Warm	100	Oranges	Benzimidazolone Orange (PO 62) 	PO62-Benzimidazolone Orange	Very Good - LF II	Transparent	Staining	"Permanent Orange, Benzimida Orange, winsor orange,helio genuine orange,  azo orange"	"A single pigment color that  is a semi-opaque pigment with excellent mixing qualities.  In watercolors it  undergoes a small drying shift, holding its lightness and losing saturation by 15%. "
Azo Yellow 018	18	Cool	40	Yellows	Benzimidazolone Yellow (PY 151) 	PY151-Benzimidazolone Yellow	Excellent - LF I	Transparent	Staining	"Benzimidazolone, aureolin modern"	"Even though its saturation is high, the light yellow hue position means it can easily take on a slightly brownish cast. In watercolors PY151 undergoes a very small drying shift, barely shifting in lightness or saturation."
Bismuth Yellow 019	19	Cool	10	Yellows	Bismuth Vanadium  Oxide (PY 184) 	PY184-Bismuth Yellow	Excellent - LF I	Opaque	Granulating  	"Permanent Lemon Yellow, Vanadium Yellow,  permanent lemon yellow, bismuth yellow"	"Bismuth Yellow is a bright opaque lemon yellow with excellent covering properties. Originally patented in 1924 by the pharmaceutical industry, it has been used by artists since the 1980s."
Burnt Sienna 020	20	Earth Tones	600	Earth Tones	Calcined Natural Iron Oxide (PBr 7)	PBr7-Burnt Sienna	Excellent - LF I	Semi Transparent	Granulating  	"Caput Mortuum, Italian Earth, Natural Brown Iron Oxide, Sienna, Spanish Red, Vandyke Brown."	"Burnt Sienna is a rich brown pigment made by burning Raw Sienna. Named after Siena in Italy, where the pigment was sourced during the Renaissance, it is a transparent pigment with red-brown tones."
Burnt Umber 030	30	Earth Tones	620	Earth Tones	Calcined Natural Iron Oxide containing Manganese (PBr 7)	PBr7-Burnt Umber	Excellent - LF I	Semi Transparent	Granulating  	"Chestnut Brown, Euchrome, Jacaranda Brown, Mars Brown, Mineral Brown, Raw Brown, Spanish Brown, Van Dyke Umber. Cyprus Umber, Turkey Brown, and Turkey Umber are the best quality umbers."	"A rich dark brown pigment, Burnt Umber is made from natural brown clays found in earth. It was named after Umbria, a region in Italy where it was mined. Burning the raw pigment intensifies its color."
Cadmium Orange 038	38	Warm	110	Oranges	Cadmium Seleno-Sulfide (PO 20) 	PO20-Cadmium Orange	Excellent - LF I	Opaque	Granulating  	"n/a - but the pigment is also used in paints named: cadmium yellow orange, cadmium red orange, cadmium orange light, cadmium orange deep, cadmium red orange."	Cadmium Orange is an opaque orange single pigment color with high tinting strength and good covering abilities. Cadmium pigments were discovered in the 1820s as a by-product to the zinc production.
Cadmium Red 040	40	Warm	170	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  	"Cadmium Scarlet, Selenium Red."	Cadmium Red is an opaque red pigment with excellent covering properties. It is a genuine single pigment color and has been favored for its strong rich color by artists such as Matisse.
Cadmium Red Deep 045	45	Warm	180	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  	"Cadmium Scarlet, Selenium Red."	Cadmium Red is an opaque red pigment with excellent covering properties. It is a genuine single pigment color and has been favored for its strong rich color by artists such as Matisse.
Cadmium Red Light 050	50	Warm	140	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  	"Cadmium Scarlet, Selenium Red."	Cadmium Red is an opaque red pigment with excellent covering properties. It is a genuine single pigment color and has been favored for its strong rich color by artists such as Matisse.
Cadmium Yellow 060	60	Cool	60	Yellows	Cadmium Zinc Sulfide (PY 35) 	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  	"Aurora Yellow, Cadmium Primrose Yellow, Cadmium Zinc Yellow, Lemon Yellow, Primrose Yellow. Deep Cadmium Yellow is sometimes called Orient Yellow."	"A genuine single pigment color, Cadmium Yellow is a clean yellow color. It is an opaque pigment with excellent tinting properties. A by-product of the zinc industry, Cadmium was discovered in 1817."
